67838,U748@DOM1,C457,LogOn,Kerberos,Network,648,C3644
67955,U748@DOM1,C1065,LogOn,Kerberos,Network,649,C3644
67956,U748@DOM1,C612,LogOn,Kerberos,Network,649,C3644
68044,U748@DOM1,C457,LogOn,Kerberos,Network,650,C3644
68045,U748@DOM1,C612,LogOn,Kerberos,Network,650,C3644
68046,U748@DOM1,C457,LogOff,?,Network,650,C457
68047,U748@DOM1,C612,LogOff,?,Network,650,C612
69196,U748@DOM1,C1065,LogOff,?,Network,659,C1065
70909,U748@DOM1,C457,LogOn,Kerberos,Network,672,C3644
71027,U748@DOM1,C457,LogOn,Kerberos,Network,673,C3644
71169,U748@DOM1,C457,LogOff,?,Network,674,C457
72903,U748@DOM1,C1065,LogOff,?,Network,691,C1065
73668,U748@DOM1,C612,LogOn,Kerberos,Network,698,C3644
73669,U748@DOM1,C612,LogOff,?,Network,698,C612
82587,U748@DOM1,C457,LogOff,?,Network,792,C457
87501,U748@DOM1,C457,LogOff,?,Network,841,C457
131529,U748@DOM1,C528,TGS,?,?,1295,C2677
131530,U748@DOM1,C528,LogOn,Kerberos,Network,1295,C2677
131531,U748@DOM1,C528,LogOff,?,Network,1295,C528
131903,U748@DOM1,C528,LogOff,?,Network,1299,C528
132700,U748@DOM1,C528,LogOff,?,Network,1307,C528
135137,U748@DOM1,C528,TGS,?,?,1335,C2677
135228,U748@DOM1,C528,TGS,?,?,1336,C2677
138975,U748@DOM1,C528,LogOn,Kerberos,Network,1375,C2677
138976,U748@DOM1,C528,LogOff,?,Network,1375,C528
139112,U748@DOM1,C528,LogOff,?,Network,1376,C528
139986,U748@DOM1,C528,LogOff,?,Network,1382,C528
718018,U748@DOM1,C528,LogOn,Kerberos,Network,7360,C2677
718019,U748@DOM1,C528,LogOff,?,Network,7360,C528
718151,U748@DOM1,C528,LogOn,Kerberos,Network,7362,C2677
718205,U748@DOM1,C528,LogOn,Kerberos,Network,7363,C2677
718276,U748@DOM1,C528,LogOff,?,Network,7364,C528
718337,U748@DOM1,C528,LogOff,?,Network,7365,C528
719029,U748@DOM1,C528,LogOff,?,Network,7373,C528
741899,U748@DOM1,C528,LogOn,Kerberos,Network,7600,C2677
741900,U748@DOM1,C528,LogOff,?,Network,7600,C528
742024,U748@DOM1,C528,LogOn,Kerberos,Network,7601,C2677
742113,U748@DOM1,C528,LogOff,?,Network,7602,C528
743781,U748@DOM1,C528,LogOff,?,Network,7618,C528
755400,U748@DOM1,C457,LogOn,Kerberos,Network,7730,C3644
755401,U748@DOM1,C612,LogOn,Kerberos,Network,7730,C3644
755508,U748@DOM1,C1065,LogOn,Kerberos,Network,7731,C3644
755509,U748@DOM1,C612,LogOn,Kerberos,Network,7731,C3644
755510,U748@DOM1,C612,LogOff,?,Network,7731,C612
755618,U748@DOM1,C457,LogOff,?,Network,7732,C457
755619,U748@DOM1,C612,LogOff,?,Network,7732,C612
756524,U748@DOM1,C612,LogOn,Kerberos,Network,7741,C3644
756525,U748@DOM1,C612,LogOff,?,Network,7741,C612
756629,U748@DOM1,C1065,LogOff,?,Network,7742,C1065
756630,U748@DOM1,C612,LogOff,?,Network,7742,C612
758453,U748@DOM1,C1065,LogOn,Kerberos,Network,7758,C3644
759455,U748@DOM1,C1065,LogOff,?,Network,7768,C1065
759958,U748@DOM1,C457,LogOn,Kerberos,Network,7773,C3644
760047,U748@DOM1,C457,LogOn,Kerberos,Network,7774,C3644
760048,U748@DOM1,C457,LogOff,?,Network,7774,C457
765301,U748@DOM1,C457,LogOff,?,Network,7820,C457
767026,U748@DOM1,C457,LogOff,?,Network,7834,C457
1382917,U748@DOM1,C2677,TGT,?,?,14145,C2677
1382918,U748@DOM1,C528,TGS,?,?,14145,C2677
1382919,U748@DOM1,TGT,TGS,?,?,14145,C2677
1383163,U748@DOM1,C528,LogOn,Kerberos,Network,14147,C2677
1383164,U748@DOM1,C528,LogOff,?,Network,14147,C528
1383580,U748@DOM1,C528,LogOff,?,Network,14151,C528
1383652,U748@DOM1,C1065,TGS,?,?,14152,C3644
1383653,U748@DOM1,C1065,LogOn,Kerberos,Network,14152,C3644
1383654,U748@DOM1,C3644,TGT,?,?,14152,C3644
1383655,U748@DOM1,C457,TGS,?,?,14152,C3644
1383656,U748@DOM1,C457,LogOn,Kerberos,Network,14152,C3644
1383657,U748@DOM1,C612,TGS,?,?,14152,C3644
1383658,U748@DOM1,TGT,TGS,?,?,14152,C3644
1383733,U748@DOM1,C457,TGS,?,?,14153,C3644
1383734,U748@DOM1,C612,LogOn,Kerberos,Network,14153,C3644
1383849,U748@DOM1,C457,LogOn,Kerberos,Network,14154,C3644
1383850,U748@DOM1,C612,LogOn,Kerberos,Network,14154,C3644
1383851,U748@DOM1,C457,LogOff,?,Network,14154,C457
1383852,U748@DOM1,C612,LogOff,?,Network,14154,C612
1384170,U748@DOM1,C528,LogOff,?,Network,14157,C528
1384795,U748@DOM1,C1065,LogOff,?,Network,14162,C1065
1386287,U748@DOM1,C1065,TGS,?,?,14178,C3644
1386288,U748@DOM1,C3644,TGT,?,?,14178,C3644
1386289,U748@DOM1,C457,TGS,?,?,14178,C3644
1386290,U748@DOM1,C612,TGS,?,?,14178,C3644
1386291,U748@DOM1,TGT,TGS,?,?,14178,C3644
1386412,U748@DOM1,C1065,LogOn,Kerberos,Network,14179,C3644
1386413,U748@DOM1,C457,TGS,?,?,14179,C3644
1386498,U748@DOM1,C2677,TGT,?,?,14180,C2677
1386499,U748@DOM1,C528,TGS,?,?,14180,C2677
1386500,U748@DOM1,TGT,TGS,?,?,14180,C2677
1386591,U748@DOM1,C528,TGS,?,?,14181,C2677
1387217,U748@DOM1,C1065,LogOff,?,Network,14189,C1065
1387991,U748@DOM1,C612,LogOn,Kerberos,Network,14198,C3644
1387992,U748@DOM1,C612,LogOff,?,Network,14198,C612
1388646,U748@DOM1,C457,LogOn,Kerberos,Network,14206,C3644
1388769,U748@DOM1,C457,LogOn,Kerberos,Network,14207,C3644
1388770,U748@DOM1,C457,LogOff,?,Network,14207,C457
1390564,U748@DOM1,C528,LogOn,Kerberos,Network,14221,C2677
1390565,U748@DOM1,C528,LogOff,?,Network,14221,C528
1391103,U748@DOM1,C528,LogOff,?,Network,14225,C528
1391715,U748@DOM1,C528,LogOff,?,Network,14230,C528
1400453,U748@DOM1,C457,LogOff,?,Network,14328,C457
1401446,U748@DOM1,C457,LogOff,?,Network,14338,C457
1923638,U748@DOM1,C528,LogOn,Kerberos,Network,19613,C2677
1923639,U748@DOM1,C528,LogOff,?,Network,19613,C528
1924009,U748@DOM1,C528,LogOff,?,Network,19617,C528
1924512,U748@DOM1,C528,LogOff,?,Network,19623,C528
