327375,U748@DOM1,P44,"En",10054,C3644
329302,U748@DOM1,P44,"End
",10116,C3644
845520,U748@DOM1,P168,"Start
",24157,C151
845521,U748@DOM1,P334,"Start
",24157,C151
845648,U748@DOM1,P21,"Start
",24159,C151
845649,U748@DOM1,P214,"Start
",24159,C151
845770,U748@DOM1,P1279,"Start
",24161,C151
845771,U748@DOM1,P1822,"Start
",24161,C151
845772,U748@DOM1,P23,"Start
",24161,C151
845773,U748@DOM1,P328,"Start
",24161,C151
845774,U748@DOM1,P578,"Start
",24161,C151
845775,U748@DOM1,P637,"Start
",24161,C151
845776,U748@DOM1,P655,"Start
",24161,C151
845777,U748@DOM1,P666,"Start
",24161,C151
845778,U748@DOM1,P899,"Start
",24161,C151
846022,U748@DOM1,P24,"Start
",24163,C151
846285,U748@DOM1,P51,"Start
",24167,C151
846750,U748@DOM1,P23,"Start
",24173,C151
846914,U748@DOM1,P24,"Start
",24175,C151
849350,U748@DOM1,P153,"Start
",24209,C151
849471,U748@DOM1,P152,"Start
",24211,C151
849580,U748@DOM1,P247,"Start
",24213,C151
849733,U748@DOM1,P247,"Start
",24215,C151
869484,U748@DOM1,P258,"Start
",24469,C151
869610,U748@DOM1,P258,"Start
",24471,C151
899782,U748@DOM1,P1771,"Start
",24843,C151
908209,U748@DOM1,P4,"Start
",24939,C151
1359656,U748@DOM1,P1771,"Start
",28443,C151
1690733,U748@DOM1,P152,"Start
",30565,C151
1690734,U748@DOM1,P247,"Start
",30565,C151
1691051,U748@DOM1,P247,"Start
",30567,C151
1698789,U748@DOM1,P153,"Start
",30611,C151
1699079,U748@DOM1,P152,"Start
",30613,C151
1699393,U748@DOM1,P247,"Start
",30615,C151
1701155,U748@DOM1,P258,"Start
",30627,C151
1701492,U748@DOM1,P334,"Start
",30629,C151
1787553,U748@DOM1,P491,"Start
",31219,C151
1787800,U748@DOM1,P126,"Start
",31221,C151
1800778,U748@DOM1,P153,"Start
",31317,C151
1801020,U748@DOM1,P152,"Start
",31319,C151
1801021,U748@DOM1,P247,"Start
",31319,C151
1801378,U748@DOM1,P247,"Start
",31321,C151
1813741,U748@DOM1,P153,"Start
",31407,C151
1813973,U748@DOM1,P152,"Start
",31409,C151
1814214,U748@DOM1,P247,"Start
",31411,C151
1816314,U748@DOM1,P1176,"Start
",31427,C151
1816315,U748@DOM1,P159,"Start
",31427,C151
1816824,U748@DOM1,P778,"Start
",31431,C151
1824403,U748@DOM1,P722,"Start
",31483,C151
1865595,U748@DOM1,P334,"Start
",31781,C151
1865596,U748@DOM1,P4,"Start
",31781,C151
1865854,U748@DOM1,P4,"Start
",31783,C151
1866008,U748@DOM1,P258,"Start
",31785,C151
1866009,U748@DOM1,P51,"Start
",31785,C151
1866697,U748@DOM1,P23,"Start
",31791,C151
1866698,U748@DOM1,P24,"Start
",31791,C151
1870538,U748@DOM1,P722,"Start
",31819,C151
1873735,U748@DOM1,P4,"End
",31845,C728
1874316,U748@DOM1,P4,"End
",31849,C728
1877250,U748@DOM1,P1139,"End
",31869,C728
1877251,U748@DOM1,P169,"End
",31869,C728
1877957,U748@DOM1,P284,"End
",31875,C728
1882266,U748@DOM1,P21,"Start
",31911,C728
1882267,U748@DOM1,P287,"Start
",31911,C728
1882513,U748@DOM1,P125,"Start
",31913,C728
1882514,U748@DOM1,P168,"Start
",31913,C728
1882515,U748@DOM1,P169,"End
",31913,C728
1882516,U748@DOM1,P21,"End
",31913,C728
1882517,U748@DOM1,P21,"Start
",31913,C728
1882518,U748@DOM1,P214,"End
",31913,C728
1882519,U748@DOM1,P214,"Start
",31913,C728
1882520,U748@DOM1,P2438,"Start
",31913,C728
1882521,U748@DOM1,P2695,"Start
",31913,C728
1882522,U748@DOM1,P287,"End
",31913,C728
1882523,U748@DOM1,P289,"End
",31913,C728
1882524,U748@DOM1,P289,"Start
",31913,C728
1882525,U748@DOM1,P290,"End
",31913,C728
1882526,U748@DOM1,P290,"Start
",31913,C728
1882527,U748@DOM1,P3465,"Start
",31913,C728
1882528,U748@DOM1,P5,"End
",31913,C728
1882529,U748@DOM1,P750,"Start
",31913,C728
1882530,U748@DOM1,P792,"Start
",31913,C728
1882531,U748@DOM1,P841,"Start
",31913,C728
1882906,U748@DOM1,P1142,"End
",31915,C728
1882907,U748@DOM1,P23,"End
",31915,C728
1882908,U748@DOM1,P23,"Start
",31915,C728
1882909,U748@DOM1,P24,"End
",31915,C728
1882910,U748@DOM1,P24,"Start
",31915,C728
1882911,U748@DOM1,P5,"End
",31915,C728
1883127,U748@DOM1,P23,"End
",31917,C728
1883128,U748@DOM1,P23,"Start
",31917,C728
1883129,U748@DOM1,P24,"End
",31917,C728
1883130,U748@DOM1,P24,"Start
",31917,C728
1883131,U748@DOM1,P5,"End
",31917,C728
1883405,U748@DOM1,P2695,"End
",31919,C728
1884538,U748@DOM1,P125,"End
",31925,C728
1886652,U748@DOM1,P44,"End
",31939,C728
1891807,U748@DOM1,P750,"End
",31975,C728
1901910,U748@DOM1,P1771,"Start
",32043,C151
1956600,U748@DOM1,P4,"End
",32431,C3644
1963212,U748@DOM1,P44,"End
",32470,C3644
1974927,U748@DOM1,P44,"End
",32550,C3644
1989293,U748@DOM1,P118,"End
",32649,C728
1989294,U748@DOM1,P4,"End
",32649,C728
1989295,U748@DOM1,P4,"Start
",32649,C728
2257536,U748@DOM1,P728,"Start
",34649,C728
2263724,U748@DOM1,P728,"End
",34699,C728
2303340,U748@DOM1,P451,"Start
",35031,C151
2313139,U748@DOM1,P258,"Start
",35111,C151
2338447,U748@DOM1,P334,"Start
",35319,C151
2339956,U748@DOM1,P4,"Start
",35333,C151
2340142,U748@DOM1,P4,"Start
",35335,C151
2340412,U748@DOM1,P258,"Start
",35337,C151
2378229,U748@DOM1,P1771,"Start
",35641,C151
2445323,U748@DOM1,P153,"Start
",36127,C151
2448497,U748@DOM1,P722,"Start
",36153,C151
2452902,U748@DOM1,P2306,"Start
",36187,C151
2453364,U748@DOM1,P3624,"Start
",36191,C151
2458499,U748@DOM1,P722,"Start
",36231,C151
2465302,U748@DOM1,P21,"Start
",36281,C151
2466050,U748@DOM1,P242,"Start
",36287,C151
2474285,U748@DOM1,P3624,"Start
",36349,C151
2500595,U748@DOM1,P118,"Start
",36555,C151
2501079,U748@DOM1,P2306,"Start
",36559,C151
2526139,U748@DOM1,P1437,"Start
",36757,C728
2526549,U748@DOM1,P23,"End
",36761,C728
2526550,U748@DOM1,P23,"Start
",36761,C728
2526551,U748@DOM1,P24,"End
",36761,C728
